Row_ID,Order_ID,Order_Date,Ship_Date,Ship_Mode,Customer_ID,Customer_Name,Segment,Country,City,State,Postal_Code,Region,Product_ID,Category,Sub_Category,Product_Name,Sales,Quantity,Discount,Profit
41,ORD-1040,02/10/2023,02/12/2023,First Class,CUST-240,Customer_41,Home Office,India,Mumbai,Delhi,584664,West,PROD-340,Technology,Storage,Filing Cabinet,18674.28,5,0.1,1867.43
42,ORD-1041,02/11/2023,02/13/2023,Standard Class,CUST-241,Customer_42,Home Office,India,Chennai,Telangana,593468,South,PROD-341,Furniture,Binders,Wooden Table,6752.52,8,0.1,675.25
43,ORD-1042,02/12/2023,02/14/2023,Standard Class,CUST-242,Customer_43,Corporate,India,Mumbai,Tamil Nadu,561389,South,PROD-342,Office Supplies,Binders,Office Chair,12080.72,5,0.1,1208.07
44,ORD-1043,02/13/2023,02/15/2023,First Class,CUST-243,Customer_44,Corporate,India,Chennai,Karnataka,509435,North,PROD-343,Furniture,Binders,Smartphone,7699.99,8,0.2,0.0
45,ORD-1044,02/14/2023,02/16/2023,First Class,CUST-244,Customer_45,Consumer,India,Bangalore,Telangana,554340,South,PROD-344,Office Supplies,Binders,Office Chair,9358.23,1,0.2,0.0
46,ORD-1045,02/15/2023,02/17/2023,Standard Class,CUST-245,Customer_46,Home Office,India,Chennai,Karnataka,544078,North,PROD-345,Furniture,Phones,Office Chair,11197.76,9,0.3,-1119.78
47,ORD-1046,02/16/2023,02/18/2023,Second Class,CUST-246,Customer_47,Home Office,India,Chennai,Karnataka,578832,South,PROD-346,Office Supplies,Phones,Wooden Table,11203.98,6,0.0,2240.8
48,ORD-1047,02/17/2023,02/19/2023,First Class,CUST-247,Customer_48,Home Office,India,Mumbai,Tamil Nadu,551293,North,PROD-347,Furniture,Storage,Filing Cabinet,4433.74,3,0.3,-443.37
49,ORD-1048,02/18/2023,02/20/2023,Second Class,CUST-248,Customer_49,Consumer,India,Mumbai,Karnataka,595981,South,PROD-348,Technology,Chairs,Office Chair,13849.15,8,0.0,2769.83
50,ORD-1049,02/19/2023,02/21/2023,Second Class,CUST-249,Customer_50,Consumer,India,Hyderabad,Karnataka,578781,West,PROD-349,Furniture,Binders,Smartphone,2213.43,9,0.2,0.0
51,ORD-1050,02/20/2023,02/22/2023,Second Class,CUST-250,Customer_51,Corporate,India,Hyderabad,Tamil Nadu,560403,South,PROD-350,Office Supplies,Chairs,Notebook,3207.08,6,0.2,0.0
52,ORD-1051,02/21/2023,02/23/2023,First Class,CUST-251,Customer_52,Consumer,India,Bangalore,Karnataka,529124,South,PROD-351,Furniture,Chairs,Office Chair,552.86,7,0.2,0.0
53,ORD-1052,02/22/2023,02/24/2023,Second Class,CUST-252,Customer_53,Home Office,India,Hyderabad,Karnataka,595435,West,PROD-352,Furniture,Storage,Office Chair,2775.57,1,0.3,-277.56
54,ORD-1053,02/23/2023,02/25/2023,First Class,CUST-253,Customer_54,Home Office,India,Chennai,Karnataka,543919,South,PROD-353,Furniture,Binders,Wooden Table,9726.74,5,0.1,972.67
55,ORD-1054,02/24/2023,02/26/2023,Second Class,CUST-254,Customer_55,Consumer,India,Mumbai,Telangana,535247,West,PROD-354,Technology,Binders,Filing Cabinet,12318.99,5,0.1,1231.9
56,ORD-1055,02/25/2023,02/27/2023,Standard Class,CUST-255,Customer_56,Home Office,India,Hyderabad,Telangana,594758,South,PROD-355,Furniture,Tables,Notebook,15988.64,4,0.2,0.0
57,ORD-1056,02/26/2023,02/28/2023,Standard Class,CUST-256,Customer_57,Home Office,India,Hyderabad,Telangana,591747,North,PROD-356,Technology,Chairs,Smartphone,2580.64,6,0.1,258.06
58,ORD-1057,02/27/2023,03/01/2023,First Class,CUST-257,Customer_58,Consumer,India,Bangalore,Tamil Nadu,562752,North,PROD-357,Technology,Chairs,Notebook,17089.19,7,0.1,1708.92
59,ORD-1058,02/28/2023,03/02/2023,Standard Class,CUST-258,Customer_59,Consumer,India,Bangalore,Delhi,556573,South,PROD-358,Furniture,Phones,Smartphone,15046.5,9,0.3,-1504.65
60,ORD-1059,03/01/2023,03/03/2023,Standard Class,CUST-259,Customer_60,Home Office,India,Chennai,Karnataka,559101,South,PROD-359,Furniture,Tables,Filing Cabinet,8466.11,1,0.0,1693.22
61,ORD-1060,03/02/2023,03/04/2023,Second Class,CUST-260,Customer_61,Home Office,India,Mumbai,Karnataka,526646,South,PROD-360,Furniture,Phones,Smartphone,18692.29,6,0.2,0.0
62,ORD-1061,03/03/2023,03/05/2023,First Class,CUST-261,Customer_62,Home Office,India,Bangalore,Tamil Nadu,523049,North,PROD-361,Office Supplies,Phones,Wooden Table,19823.12,7,0.2,0.0
63,ORD-1062,03/04/2023,03/06/2023,Second Class,CUST-262,Customer_63,Corporate,India,Hyderabad,Karnataka,579605,South,PROD-362,Furniture,Phones,Wooden Table,4497.54,3,0.3,-449.75
64,ORD-1063,03/05/2023,03/07/2023,Second Class,CUST-263,Customer_64,Corporate,India,Mumbai,Telangana,598116,North,PROD-363,Technology,Storage,Wooden Table,7894.96,8,0.3,-789.5
65,ORD-1064,03/06/2023,03/08/2023,Second Class,CUST-264,Customer_65,Corporate,India,Mumbai,Delhi,597379,West,PROD-364,Furniture,Storage,Wooden Table,18565.76,5,0.1,1856.58
66,ORD-1065,03/07/2023,03/09/2023,Second Class,CUST-265,Customer_66,Consumer,India,Hyderabad,Maharashtra,568385,North,PROD-365,Office Supplies,Phones,Notebook,14571.13,9,0.2,0.0
67,ORD-1066,03/08/2023,03/10/2023,Second Class,CUST-266,Customer_67,Corporate,India,Bangalore,Karnataka,540158,North,PROD-366,Furniture,Tables,Filing Cabinet,1437.85,5,0.0,287.57
68,ORD-1067,03/09/2023,03/11/2023,Second Class,CUST-267,Customer_68,Consumer,India,Hyderabad,Telangana,565417,West,PROD-367,Office Supplies,Chairs,Smartphone,15739.53,9,0.3,-1573.95
69,ORD-1068,03/10/2023,03/12/2023,Second Class,CUST-268,Customer_69,Consumer,India,Mumbai,Maharashtra,523289,North,PROD-368,Office Supplies,Tables,Smartphone,16644.85,4,0.0,3328.97
70,ORD-1069,03/11/2023,03/13/2023,First Class,CUST-269,Customer_70,Corporate,India,Delhi,Delhi,509823,South,PROD-369,Furniture,Binders,Wooden Table,15134.79,9,0.0,3026.96
71,ORD-1070,03/12/2023,03/14/2023,Standard Class,CUST-270,Customer_71,Corporate,India,Delhi,Maharashtra,560160,South,PROD-370,Technology,Storage,Wooden Table,16090.97,5,0.2,0.0
72,ORD-1071,03/13/2023,03/15/2023,Second Class,CUST-271,Customer_72,Corporate,India,Chennai,Telangana,541975,North,PROD-371,Office Supplies,Chairs,Office Chair,16590.09,9,0.2,0.0
73,ORD-1072,03/14/2023,03/16/2023,Second Class,CUST-272,Customer_73,Home Office,India,Hyderabad,Maharashtra,509540,South,PROD-372,Furniture,Chairs,Filing Cabinet,4134.9,3,0.3,-413.49
74,ORD-1073,03/15/2023,03/17/2023,Second Class,CUST-273,Customer_74,Corporate,India,Hyderabad,Tamil Nadu,516364,North,PROD-373,Furniture,Binders,Notebook,5095.99,4,0.2,0.0
75,ORD-1074,03/16/2023,03/18/2023,Second Class,CUST-274,Customer_75,Home Office,India,Chennai,Maharashtra,504611,South,PROD-374,Technology,Binders,Smartphone,12858.29,9,0.2,0.0
76,ORD-1075,03/17/2023,03/19/2023,Second Class,CUST-275,Customer_76,Consumer,India,Chennai,Karnataka,527663,South,PROD-375,Office Supplies,Phones,Office Chair,18203.39,6,0.2,0.0
77,ORD-1076,03/18/2023,03/20/2023,Second Class,CUST-276,Customer_77,Home Office,India,Chennai,Karnataka,551991,North,PROD-376,Office Supplies,Storage,Office Chair,6665.83,2,0.0,1333.17
78,ORD-1077,03/19/2023,03/21/2023,Standard Class,CUST-277,Customer_78,Corporate,India,Mumbai,Tamil Nadu,557679,South,PROD-377,Furniture,Storage,Smartphone,11971.98,7,0.3,-1197.2
79,ORD-1078,03/20/2023,03/22/2023,Standard Class,CUST-278,Customer_79,Consumer,India,Hyderabad,Telangana,530977,North,PROD-378,Furniture,Tables,Notebook,13818.15,2,0.1,1381.82
80,ORD-1079,03/21/2023,03/23/2023,Second Class,CUST-279,Customer_80,Consumer,India,Mumbai,Karnataka,594704,South,PROD-379,Technology,Phones,Office Chair,9313.0,2,0.0,1862.6
81,ORD-1080,03/22/2023,03/24/2023,Standard Class,CUST-280,Customer_81,Consumer,India,Chennai,Delhi,549115,South,PROD-380,Technology,Phones,Office Chair,14418.76,1,0.2,0.0
82,ORD-1081,03/23/2023,03/25/2023,First Class,CUST-281,Customer_82,Home Office,India,Hyderabad,Karnataka,591007,West,PROD-381,Office Supplies,Phones,Filing Cabinet,18043.52,3,0.0,3608.7
83,ORD-1082,03/24/2023,03/26/2023,Second Class,CUST-282,Customer_83,Corporate,India,Mumbai,Karnataka,588223,West,PROD-382,Office Supplies,Phones,Notebook,12669.98,6,0.2,0.0
84,ORD-1083,03/25/2023,03/27/2023,First Class,CUST-283,Customer_84,Consumer,India,Mumbai,Telangana,560890,North,PROD-383,Furniture,Storage,Office Chair,11025.73,8,0.2,0.0
85,ORD-1084,03/26/2023,03/28/2023,First Class,CUST-284,Customer_85,Consumer,India,Chennai,Maharashtra,566387,West,PROD-384,Office Supplies,Storage,Notebook,9055.52,9,0.0,1811.1
86,ORD-1085,03/27/2023,03/29/2023,Second Class,CUST-285,Customer_86,Consumer,India,Hyderabad,Karnataka,518071,North,PROD-385,Technology,Phones,Smartphone,11760.98,7,0.3,-1176.1
87,ORD-1086,03/28/2023,03/30/2023,Standard Class,CUST-286,Customer_87,Home Office,India,Chennai,Tamil Nadu,559275,West,PROD-386,Technology,Tables,Wooden Table,7429.57,4,0.2,0.0
88,ORD-1087,03/29/2023,03/31/2023,First Class,CUST-287,Customer_88,Home Office,India,Hyderabad,Maharashtra,572369,South,PROD-387,Furniture,Chairs,Office Chair,8133.9,6,0.3,-813.39
89,ORD-1088,03/30/2023,04/01/2023,Second Class,CUST-288,Customer_89,Corporate,India,Delhi,Delhi,511938,North,PROD-388,Technology,Chairs,Filing Cabinet,10871.22,5,0.1,1087.12
90,ORD-1089,03/31/2023,04/02/2023,First Class,CUST-289,Customer_90,Home Office,India,Bangalore,Telangana,535195,North,PROD-389,Technology,Tables,Smartphone,1799.07,8,0.2,0.0
91,ORD-1090,04/01/2023,04/03/2023,First Class,CUST-290,Customer_91,Consumer,India,Bangalore,Delhi,591680,South,PROD-390,Technology,Phones,Notebook,4966.0,1,0.3,-496.6
92,ORD-1091,04/02/2023,04/04/2023,First Class,CUST-291,Customer_92,Corporate,India,Bangalore,Maharashtra,504000,North,PROD-391,Technology,Storage,Smartphone,11085.56,1,0.3,-1108.56
93,ORD-1092,04/03/2023,04/05/2023,First Class,CUST-292,Customer_93,Consumer,India,Chennai,Maharashtra,570588,North,PROD-392,Furniture,Chairs,Office Chair,8914.8,6,0.1,891.48
94,ORD-1093,04/04/2023,04/06/2023,Standard Class,CUST-293,Customer_94,Consumer,India,Delhi,Maharashtra,593610,West,PROD-393,Furniture,Binders,Notebook,6989.91,2,0.3,-698.99
95,ORD-1094,04/05/2023,04/07/2023,First Class,CUST-294,Customer_95,Home Office,India,Hyderabad,Delhi,597856,North,PROD-394,Office Supplies,Binders,Wooden Table,14745.71,5,0.3,-1474.57
96,ORD-1095,04/06/2023,04/08/2023,First Class,CUST-295,Customer_96,Corporate,India,Mumbai,Maharashtra,538304,South,PROD-395,Technology,Tables,Smartphone,14027.49,1,0.1,1402.75
97,ORD-1096,04/07/2023,04/09/2023,First Class,CUST-296,Customer_97,Home Office,India,Hyderabad,Delhi,569449,West,PROD-396,Office Supplies,Phones,Office Chair,3751.25,7,0.2,0.0
98,ORD-1097,04/08/2023,04/10/2023,Standard Class,CUST-297,Customer_98,Home Office,India,Mumbai,Maharashtra,582986,West,PROD-397,Furniture,Chairs,Filing Cabinet,17633.27,1,0.3,-1763.33
99,ORD-1098,04/09/2023,04/11/2023,First Class,CUST-298,Customer_99,Corporate,India,Hyderabad,Tamil Nadu,589643,South,PROD-398,Furniture,Phones,Notebook,10160.76,4,0.3,-1016.08
100,ORD-1099,04/10/2023,04/12/2023,First Class,CUST-299,Customer_100,Consumer,India,Delhi,Maharashtra,520764,South,PROD-399,Furniture,Chairs,Smartphone,14958.49,9,0.3,-1495.85
